Time,Name,Color,Mean_gray,Gray
730,mrfp1,red,145.1266666666667,"[142.72, 143.29, 149.37]"
730,NNN157D,purple,125.04666666666668,"[117.64, 141.55, 164.69, 91.78, 116.25, 118.37]"
735,mrfp1,red,144.51666666666668,"[141.76, 142.8, 148.99]"
735,NNN157D,purple,124.88166666666667,"[117.54, 141.26, 164.39, 91.89, 116.5, 117.71]"
740,mrfp1,red,144.90333333333334,"[142.06, 143.05, 149.6]"
740,NNN157D,purple,124.90166666666669,"[117.17, 141.24, 164.88, 91.41, 116.48, 118.23]"
745,mrfp1,red,145.00333333333333,"[142.05, 142.96, 150.0]"
745,NNN157D,purple,125.09,"[117.31, 141.53, 164.87, 92.0, 116.81, 118.02]"
750,NNN157D,purple,124.98666666666668,"[117.65, 141.18, 164.84, 91.03, 116.86, 118.36]"
750,mrfp1,red,144.09666666666666,"[141.33, 141.51, 149.45]"
755,mrfp1,red,144.25666666666666,"[141.54, 142.17, 149.06]"
755,NNN157D,purple,125.04,"[117.23, 141.43, 165.41, 92.41, 115.75, 118.01]"
760,mrfp1,red,143.95000000000002,"[141.48, 141.71, 148.66]"
760,NNN157D,purple,124.86666666666667,"[117.36, 141.66, 164.65, 91.27, 115.82, 118.44]"
765,mrfp1,red,143.88,"[141.11, 141.44, 149.09]"
765,NNN157D,purple,125.05666666666666,"[117.56, 141.51, 164.89, 91.47, 116.8, 118.11]"
770,NNN157D,purple,124.45333333333332,"[116.68, 141.59, 163.77, 90.88, 115.86, 117.94]"
770,mrfp1,red,144.24333333333334,"[141.58, 141.83, 149.32]"
775,mrfp1,red,143.99333333333334,"[141.71, 141.14, 149.13]"
775,NNN157D,purple,124.96500000000002,"[117.8, 141.5, 164.99, 91.26, 116.2, 118.04]"
780,mrfp1,red,143.75666666666666,"[141.52, 140.49, 149.26]"
780,NNN157D,purple,124.99000000000002,"[117.5, 140.96, 164.84, 91.81, 116.68, 118.15]"
785,mrfp1,red,143.67999999999998,"[140.6, 140.57, 149.87]"
785,NNN157D,purple,125.10666666666664,"[118.54, 141.78, 164.34, 92.01, 115.93, 118.04]"
790,mrfp1,red,143.5533333333333,"[141.25, 140.5, 148.91]"
790,NNN157D,purple,124.445,"[117.43, 141.4, 164.11, 90.63, 115.65, 117.45]"
795,NNN157D,purple,124.95166666666668,"[117.4, 141.31, 164.82, 91.67, 116.32, 118.19]"
795,mrfp1,red,143.29333333333332,"[140.59, 140.56, 148.73]"
800,mrfp1,red,143.39,"[140.69, 140.2, 149.28]"
800,NNN157D,purple,125.135,"[117.98, 141.7, 165.07, 91.45, 116.52, 118.09]"
